id,route_id,bus_id,scheduled_start_time,actual_start_time,scheduled_end_time,actual_end_time,status,created_at
1,1,2,2025-08-14 06:00:00.289746,2025-08-14 06:00:00.289746,2025-08-14 06:35:00.289746,2025-08-14 06:35:00.289746,completed,2025-09-13 20:33:08.557826
2,1,1,2025-08-14 06:30:00.289746,2025-08-14 06:31:00.289746,2025-08-14 07:05:00.289746,2025-08-14 07:06:00.289746,completed,2025-09-13 20:33:08.557826
3,1,2,2025-08-14 07:00:00.289746,2025-08-14 07:00:00.289746,2025-08-14 07:35:00.289746,2025-08-14 07:35:00.289746,completed,2025-09-13 20:33:08.557826
4,1,3,2025-08-14 07:15:00.289746,2025-08-14 07:15:00.289746,2025-08-14 07:50:00.289746,2025-08-14 07:50:00.289746,completed,2025-09-13 20:33:08.557826
5,1,2,2025-08-14 07:30:00.289746,2025-08-14 07:30:00.289746,2025-08-14 08:05:00.289746,2025-08-14 08:05:00.289746,completed,2025-09-13 20:33:08.557826
6,1,3,2025-08-14 07:45:00.289746,2025-08-14 07:45:00.289746,2025-08-14 08:20:00.289746,2025-08-14 08:20:00.289746,completed,2025-09-13 20:33:08.557826
7,1,1,2025-08-14 08:00:00.289746,2025-08-14 08:00:00.289746,2025-08-14 08:35:00.289746,2025-08-14 08:35:00.289746,completed,2025-09-13 20:33:08.557826
8,1,1,2025-08-14 08:15:00.289746,2025-08-14 08:15:00.289746,2025-08-14 08:50:00.289746,2025-08-14 08:50:00.289746,completed,2025-09-13 20:33:08.557826
9,1,4,2025-08-14 08:30:00.289746,2025-08-14 08:30:00.289746,2025-08-14 09:05:00.289746,2025-08-14 09:05:00.289746,completed,2025-09-13 20:33:08.557826
10,1,1,2025-08-14 08:45:00.289746,2025-08-14 08:45:00.289746,2025-08-14 09:20:00.289746,2025-08-14 09:20:00.289746,completed,2025-09-13 20:33:08.557826
11,1,4,2025-08-14 09:00:00.289746,2025-08-14 09:00:00.289746,2025-08-14 09:35:00.289746,2025-08-14 09:35:00.289746,completed,2025-09-13 20:33:08.557826
12,1,2,2025-08-14 09:15:00.289746,2025-08-14 09:22:00.289746,2025-08-14 09:50:00.289746,2025-08-14 09:57:00.289746,completed,2025-09-13 20:33:08.557826
13,1,1,2025-08-14 09:30:00.289746,2025-08-14 09:33:00.289746,2025-08-14 10:05:00.289746,2025-08-14 10:08:00.289746,completed,2025-09-13 20:33:08.557826
14,1,4,2025-08-14 09:45:00.289746,2025-08-14 09:45:00.289746,2025-08-14 10:20:00.289746,2025-08-14 10:20:00.289746,completed,2025-09-13 20:33:08.557826
15,1,3,2025-08-14 10:00:00.289746,2025-08-14 10:09:00.289746,2025-08-14 10:35:00.289746,2025-08-14 10:44:00.289746,completed,2025-09-13 20:33:08.557826
16,1,4,2025-08-14 10:30:00.289746,2025-08-14 10:30:00.289746,2025-08-14 11:05:00.289746,2025-08-14 11:05:00.289746,completed,2025-09-13 20:33:08.557826
17,1,4,2025-08-14 11:00:00.289746,2025-08-14 11:00:00.289746,2025-08-14 11:35:00.289746,2025-08-14 11:35:00.289746,completed,2025-09-13 20:33:08.557826
18,1,2,2025-08-14 11:30:00.289746,2025-08-14 11:33:00.289746,2025-08-14 12:05:00.289746,2025-08-14 12:08:00.289746,completed,2025-09-13 20:33:08.557826
19,1,2,2025-08-14 12:00:00.289746,2025-08-14 12:00:00.289746,2025-08-14 12:35:00.289746,2025-08-14 12:35:00.289746,completed,2025-09-13 20:33:08.557826
20,1,1,2025-08-14 12:30:00.289746,2025-08-14 12:30:00.289746,2025-08-14 13:05:00.289746,2025-08-14 13:05:00.289746,completed,2025-09-13 20:33:08.557826
21,1,3,2025-08-14 13:00:00.289746,2025-08-14 13:00:00.289746,2025-08-14 13:35:00.289746,2025-08-14 13:35:00.289746,completed,2025-09-13 20:33:08.557826
22,1,4,2025-08-14 13:30:00.289746,2025-08-14 13:30:00.289746,2025-08-14 14:05:00.289746,2025-08-14 14:05:00.289746,completed,2025-09-13 20:33:08.557826
23,1,3,2025-08-14 14:00:00.289746,2025-08-14 14:00:00.289746,2025-08-14 14:35:00.289746,2025-08-14 14:35:00.289746,completed,2025-09-13 20:33:08.557826
24,1,2,2025-08-14 14:30:00.289746,2025-08-14 14:30:00.289746,2025-08-14 15:05:00.289746,2025-08-14 15:05:00.289746,completed,2025-09-13 20:33:08.557826
25,1,1,2025-08-14 15:00:00.289746,2025-08-14 15:00:00.289746,2025-08-14 15:35:00.289746,2025-08-14 15:35:00.289746,completed,2025-09-13 20:33:08.557826
26,1,4,2025-08-14 15:30:00.289746,2025-08-14 15:30:00.289746,2025-08-14 16:05:00.289746,2025-08-14 16:05:00.289746,completed,2025-09-13 20:33:08.557826
27,1,2,2025-08-14 16:00:00.289746,2025-08-14 16:00:00.289746,2025-08-14 16:35:00.289746,2025-08-14 16:35:00.289746,completed,2025-09-13 20:33:08.557826
28,1,2,2025-08-14 16:30:00.289746,2025-08-14 16:30:00.289746,2025-08-14 17:05:00.289746,2025-08-14 17:05:00.289746,completed,2025-09-13 20:33:08.557826
29,1,1,2025-08-14 17:00:00.289746,2025-08-14 17:00:00.289746,2025-08-14 17:35:00.289746,2025-08-14 17:35:00.289746,completed,2025-09-13 20:33:08.557826
30,1,1,2025-08-14 17:15:00.289746,2025-08-14 17:15:00.289746,2025-08-14 17:50:00.289746,2025-08-14 17:50:00.289746,completed,2025-09-13 20:33:08.557826
31,1,4,2025-08-14 17:30:00.289746,2025-08-14 17:30:00.289746,2025-08-14 18:05:00.289746,2025-08-14 18:05:00.289746,completed,2025-09-13 20:33:08.557826
32,1,1,2025-08-14 17:45:00.289746,2025-08-14 17:45:00.289746,2025-08-14 18:20:00.289746,2025-08-14 18:20:00.289746,completed,2025-09-13 20:33:08.557826
33,1,4,2025-08-14 18:00:00.289746,2025-08-14 18:00:00.289746,2025-08-14 18:35:00.289746,2025-08-14 18:35:00.289746,completed,2025-09-13 20:33:08.557826
34,1,3,2025-08-14 18:15:00.289746,2025-08-14 18:15:00.289746,2025-08-14 18:50:00.289746,2025-08-14 18:50:00.289746,completed,2025-09-13 20:33:08.557826
35,1,2,2025-08-14 18:30:00.289746,2025-08-14 18:40:00.289746,2025-08-14 19:05:00.289746,2025-08-14 19:15:00.289746,completed,2025-09-13 20:33:08.557826
36,1,1,2025-08-14 18:45:00.289746,2025-08-14 18:45:00.289746,2025-08-14 19:20:00.289746,2025-08-14 19:20:00.289746,completed,2025-09-13 20:33:08.557826
37,1,3,2025-08-14 19:00:00.289746,2025-08-14 19:00:00.289746,2025-08-14 19:35:00.289746,2025-08-14 19:35:00.289746,completed,2025-09-13 20:33:08.557826
38,1,1,2025-08-14 19:15:00.289746,2025-08-14 19:25:00.289746,2025-08-14 19:50:00.289746,2025-08-14 20:00:00.289746,completed,2025-09-13 20:33:08.557826
39,1,2,2025-08-14 19:30:00.289746,2025-08-14 19:38:00.289746,2025-08-14 20:05:00.289746,2025-08-14 20:13:00.289746,completed,2025-09-13 20:33:08.557826
40,1,3,2025-08-14 19:45:00.289746,2025-08-14 19:45:00.289746,2025-08-14 20:20:00.289746,2025-08-14 20:20:00.289746,completed,2025-09-13 20:33:08.557826
41,1,3,2025-08-14 20:00:00.289746,2025-08-14 20:00:00.289746,2025-08-14 20:35:00.289746,2025-08-14 20:35:00.289746,completed,2025-09-13 20:33:08.557826
42,1,3,2025-08-14 20:30:00.289746,2025-08-14 20:30:00.289746,2025-08-14 21:05:00.289746,2025-08-14 21:05:00.289746,completed,2025-09-13 20:33:08.557826
43,1,2,2025-08-14 21:00:00.289746,2025-08-14 21:00:00.289746,2025-08-14 21:35:00.289746,2025-08-14 21:35:00.289746,completed,2025-09-13 20:33:08.557826
44,1,3,2025-08-14 21:30:00.289746,2025-08-14 21:30:00.289746,2025-08-14 22:05:00.289746,2025-08-14 22:05:00.289746,completed,2025-09-13 20:33:08.557826
45,1,1,2025-08-15 06:00:00.289746,2025-08-15 06:00:00.289746,2025-08-15 06:35:00.289746,2025-08-15 06:35:00.289746,completed,2025-09-13 20:33:08.557826
46,1,1,2025-08-15 06:30:00.289746,2025-08-15 06:30:00.289746,2025-08-15 07:05:00.289746,2025-08-15 07:05:00.289746,completed,2025-09-13 20:33:08.557826
47,1,2,2025-08-15 07:00:00.289746,2025-08-15 07:00:00.289746,2025-08-15 07:35:00.289746,2025-08-15 07:35:00.289746,completed,2025-09-13 20:33:08.557826
48,1,4,2025-08-15 07:15:00.289746,2025-08-15 07:15:00.289746,2025-08-15 07:50:00.289746,2025-08-15 07:50:00.289746,completed,2025-09-13 20:33:08.557826
49,1,4,2025-08-15 07:30:00.289746,2025-08-15 07:38:00.289746,2025-08-15 08:05:00.289746,2025-08-15 08:13:00.289746,completed,2025-09-13 20:33:08.557826
50,1,3,2025-08-15 07:45:00.289746,2025-08-15 07:51:00.289746,2025-08-15 08:20:00.289746,2025-08-15 08:26:00.289746,completed,2025-09-13 20:33:08.557826
51,1,4,2025-08-15 08:00:00.289746,2025-08-15 08:05:00.289746,2025-08-15 08:35:00.289746,2025-08-15 08:40:00.289746,completed,2025-09-13 20:33:08.557826
52,1,4,2025-08-15 08:15:00.289746,2025-08-15 08:15:00.289746,2025-08-15 08:50:00.289746,2025-08-15 08:50:00.289746,completed,2025-09-13 20:33:08.557826
53,1,3,2025-08-15 08:30:00.289746,2025-08-15 08:30:00.289746,2025-08-15 09:05:00.289746,2025-08-15 09:05:00.289746,completed,2025-09-13 20:33:08.557826
54,1,4,2025-08-15 08:45:00.289746,2025-08-15 08:53:00.289746,2025-08-15 09:20:00.289746,2025-08-15 09:28:00.289746,completed,2025-09-13 20:33:08.557826
55,1,1,2025-08-15 09:00:00.289746,2025-08-15 09:00:00.289746,2025-08-15 09:35:00.289746,2025-08-15 09:35:00.289746,completed,2025-09-13 20:33:08.557826
56,1,4,2025-08-15 09:15:00.289746,2025-08-15 09:21:00.289746,2025-08-15 09:50:00.289746,2025-08-15 09:56:00.289746,completed,2025-09-13 20:33:08.557826
57,1,1,2025-08-15 09:30:00.289746,2025-08-15 09:40:00.289746,2025-08-15 10:05:00.289746,2025-08-15 10:15:00.289746,completed,2025-09-13 20:33:08.557826
58,1,3,2025-08-15 09:45:00.289746,2025-08-15 09:45:00.289746,2025-08-15 10:20:00.289746,2025-08-15 10:20:00.289746,completed,2025-09-13 20:33:08.557826
59,1,2,2025-08-15 10:00:00.289746,2025-08-15 10:00:00.289746,2025-08-15 10:35:00.289746,2025-08-15 10:35:00.289746,completed,2025-09-13 20:33:08.557826
60,1,2,2025-08-15 10:30:00.289746,2025-08-15 10:30:00.289746,2025-08-15 11:05:00.289746,2025-08-15 11:05:00.289746,completed,2025-09-13 20:33:08.557826
61,1,3,2025-08-15 11:00:00.289746,2025-08-15 11:00:00.289746,2025-08-15 11:35:00.289746,2025-08-15 11:35:00.289746,completed,2025-09-13 20:33:08.557826
62,1,4,2025-08-15 11:30:00.289746,2025-08-15 11:30:00.289746,2025-08-15 12:05:00.289746,2025-08-15 12:05:00.289746,completed,2025-09-13 20:33:08.557826
63,1,4,2025-08-15 12:00:00.289746,2025-08-15 12:00:00.289746,2025-08-15 12:35:00.289746,2025-08-15 12:35:00.289746,completed,2025-09-13 20:33:08.557826
64,1,3,2025-08-15 12:30:00.289746,2025-08-15 12:30:00.289746,2025-08-15 13:05:00.289746,2025-08-15 13:05:00.289746,completed,2025-09-13 20:33:08.557826
65,1,1,2025-08-15 13:00:00.289746,2025-08-15 13:00:00.289746,2025-08-15 13:35:00.289746,2025-08-15 13:35:00.289746,completed,2025-09-13 20:33:08.557826
66,1,4,2025-08-15 13:30:00.289746,2025-08-15 13:30:00.289746,2025-08-15 14:05:00.289746,2025-08-15 14:05:00.289746,completed,2025-09-13 20:33:08.557826
67,1,1,2025-08-15 14:00:00.289746,2025-08-15 14:00:00.289746,2025-08-15 14:35:00.289746,2025-08-15 14:35:00.289746,completed,2025-09-13 20:33:08.557826
